School,Conference,ProjectedPoints,NumberOfProspects,SchoolURL,SuggestedAuctionValue,LeagifyPosition,ProjectedPointsAboveAverage,ProjectedPointsAboveReplacement,AveragePointsForPosition,ReplacementValueAverageForPosition
Rutgers,Big Ten,4,4,https://d9ioojyvhqpok.cloudfront.net/70kax5tvygnc259akspwmf5pzxq9,,Big Ten,-69.16,-6,73.16,10
Oregon State,Pac 12,4,4,https://d9ioojyvhqpok.cloudfront.net/ueh09xe6mxltdzhv3wsyz5o3al67,,Flex,-28.15,-7,32.16,11
Tulane,FBS - AAC,4,4,https://d9ioojyvhqpok.cloudfront.net/6mz16izd2o7j5755blz7hurdhz22,,Flex,-28.15,-7,32.16,11
Minnesota,Big Ten,4,3,https://d9ioojyvhqpok.cloudfront.net/qwkosz3kmuu3cll5gejk03tlkbrc,,Big Ten,-69.16,-6,73.16,10
Troy,FBS - Sun Belt,3,3,https://d9ioojyvhqpok.cloudfront.net/ruiflpk24qu2y21m46ltngncpusm,,Flex,-29.15,-8,32.16,11
James Madison,FBS - Sun Belt,3,3,https://d9ioojyvhqpok.cloudfront.net/jxwsh5nfw2r1lak6vps8g12jl54j,,Flex,-29.15,-8,32.16,11
Texas State,FBS - Sun Belt,3,3,https://d9ioojyvhqpok.cloudfront.net/xs9x6mbqnl60a5ivuzdypubo74dh,,Flex,-29.15,-8,32.16,11
UNLV,FBS - Mountain West,3,3,https://d9ioojyvhqpok.cloudfront.net/4hxbby4zzz5hxuffm00vngkx1j87,,Flex,-29.15,-8,32.16,11
West Virginia,Big 12,3,3,https://d9ioojyvhqpok.cloudfront.net/37s7o47tb2yw9pkq8f0wbmra4n5c,,Big 12,-59.66,-21,62.66,24
Louisiana-Lafayette,FBS - Sun Belt,2,2,https://d9ioojyvhqpok.cloudfront.net/hmda77r618rropcqdewolreubcgy,,Flex,-30.15,-9,32.16,11
Youngstown State,FCS,2,2,https://d9ioojyvhqpok.cloudfront.net/rk7ez7uyily7v63g01g6zqtgy7e8,,Flex,-30.15,-9,32.16,11
Incarnate Word,FCS,2,2,,,Flex,-30.15,-9,32.16,11
South Alabama,FBS - Sun Belt,2,2,,,Flex,-30.15,-9,32.16,11
New Mexico,FBS - Mountain West,2,2,,,Flex,-30.15,-9,32.16,11
Fresno State,FBS - Mountain West,2,2,https://d9ioojyvhqpok.cloudfront.net/oh0a26wlyg1v3e0c3819jlyxnecp,,Flex,-30.15,-9,32.16,11
Purdue,Big Ten,2,2,https://d9ioojyvhqpok.cloudfront.net/0bjmmsxwhzoksybxoe4l71fr2d87,,Big Ten,-71.16,-8,73.16,10
Jacksonville State,FBS - CUSA,2,2,https://d9ioojyvhqpok.cloudfront.net/e7p9srs34k8g21vjl6zet58xwnqg,,Flex,-30.15,-9,32.16,11
